State,City,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Veggie Vibe Zinger Duo Meal,589.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Forever Fam Chicken Leg Bucket,899.0,4.7,1
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Chill Vibes Zinger Meal,339.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Squad Goals Hot Wings & Leg Combo,666.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),BFF Chicken Leg & Strips Bucket,599.0,4.3,1
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Double Chicken Roll,168.57,4.9,11
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Classic Chicken Roll,139.0,4.8,20
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Double Chicken Roll Meal for 1,379.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Classic Chicken Roll Meal for 2,479.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Thai Spicy Chicken Roll,139.0,3.3,4
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Indian Tandoori Chicken Roll,139.0,5.0,4
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Korean Tangy Chicken Roll,139.0,4.3,1
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Indian Spicy Veg Roll,139.0,4.1,4
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Korean & Thai Roll Chicken Meal,569.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Indian Tandoori Roll Chicken Meal,419.0,4.0,2
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Korean Tangy Roll & Popcorn Chicken Meal,319.0,4.4,2
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Thai Spicy Roll & Zinger Chicken Meal,419.0,3.8,2
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,American Roll & Popcorn Chicken Meal,299.0,4.2,1
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Thai Spicy Roll & Popcorn Chicken Meal,319.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Rolls,Korean Tangy Roll & Zinger Chicken Meal,419.0,4.2,1
Gujarat,Ahmedabad,KFC,Hebatpur,Double Down Burger,Double Down Burger & Popcorn Meal,429.0,4.4,1
Gujarat,Ahmedabad,KFC,Hebatpur,Double Down Burger,Double Down Burger & Pepsi,316.0,4.9,1
Gujarat,Ahmedabad,KFC,Hebatpur,Double Down Burger,2 Double Down Burgers,499.0,4.8,4
Gujarat,Ahmedabad,KFC,Hebatpur,Double Down Burger,2 Double Down Burgers & Fries Meal,679.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Double Down Burger,Double Down Burger,259.0,3.2,3
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Gold Edition Chicken Zinger Burger & Fries,328.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,2 x Chatpata Chana Veg Burger,169.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,2 x Chatpata Chana Veg Burger & Fries combo,269.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,2 x Chatpata Chana Veg Burger Meal,309.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Chatpata Chana & Veg Krisper Burger Meal,499.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Spicy Zinger Burger and Chicken Meal,388.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Spicy Zinger Burger,229.52,3.7,6
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Spicy Zinger Burger and Popcorn Meal,448.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Mexican Zinger Pro Pepsi Bottle Combo,339.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Paneer Zinger Burger,219.05,4.2,5
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Zinger Pro Burger & Popcorn Meal,469.0,4.1,2
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Zinger Pro Burger,249.0,4.7,4
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Zinger Pro Burger & Chicken Meal,409.0,4.3,2
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Chicken Burger Buddy Meal,548.57,4.4,23
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Gold Edition Veg Zinger Burger,239.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,American Classic Zinger Mojito Combo,307.62,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Mixed Chicken Zinger Burger Doubles,368.57,4.8,38
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Chicken Zinger Burger - Classic with Cheese,234.29,5.0,4
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Chicken Zinger Burger - Tandoori with Cheese,243.81,4.1,2
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Veg Zinger Burger with Cheese,223.81,4.9,3
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Chicken Longer Burger & 2 Strips Combo,228.57,4.7,7
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Chicken Zinger Burger - Classic,208.57,4.3,75
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Veg Zinger Burger,199.05,4.4,25
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,Chicken Zinger Burger - Tandoori,219.05,4.7,85
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,2 Classic Chicken Krisper Burgers,299.05,4.3,2
Gujarat,Ahmedabad,KFC,Hebatpur,Burgers,2 X Veg Krisper Burgers,188.57,3.7,38
Gujarat,Ahmedabad,KFC,Hebatpur,All Day Lunch Special Meal Box,All Chicken Box,399.0,4.0,3
Gujarat,Ahmedabad,KFC,Hebatpur,All Day Lunch Special Meal Box,Classic Zinger Box,399.0,3.9,3
Gujarat,Ahmedabad,KFC,Hebatpur,All Day Lunch Special Meal Box,Rice Box Meal,399.0,5.0,5
Gujarat,Ahmedabad,KFC,Hebatpur,All Day Lunch Special Meal Box,Roll Meal Box,399.0,4.0,2
Gujarat,Ahmedabad,KFC,Hebatpur,All Day Lunch Special Meal Box,Veg Box Meal,399.0,4.7,1
Gujarat,Ahmedabad,KFC,Hebatpur,Peri Peri Chicken Strips & Leg Pc (up to 25%),5 Leg Pc & 2 Dips Pepsi Bottle Combo,599.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri Chicken 5 Leg Piece Meal,659.05,4.5,1
Gujarat,Ahmedabad,KFC,Hebatpur,Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri 10 Pc Chicken Strips & 2 Dips,528.57,4.7,7
Gujarat,Ahmedabad,KFC,Hebatpur,Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri Chicken 5 Leg Piece Bucket,548.57,4.6,1
Gujarat,Ahmedabad,KFC,Hebatpur,Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri Chicken 10 Leg Pc & 4 Dips,968.57,4.2,1
Gujarat,Ahmedabad,KFC,Hebatpur,Peri Peri Chicken Strips & Leg Pc (up to 25%),6 Pc Strips & Pepsi Bottle Combo,379.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Peri Peri Chicken Strips & Leg Pc (up to 25%),Peri Peri chicken strips - 6 Pc,319.05,4.3,45
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Gold Chicken Zinger Burger Epic Meal,468.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Gold Veg Zinger Burger x 2,458.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Saucy Popcorn Classic Zinger Meal,557.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Gold Zinger Burger & Saucy Popcorn Meal,687.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Gold Veg & Paneer Zinger Burger Meal,648.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Trio Zinger Chicken Burgers Deal,629.2,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Saucy Popcorn x CarryMinati & Rizz Fizz Meal,279.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Classic Chicken Krisper Burger Combo,580.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Chicken Bucket for Two,599.05,4.1,13
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),4 Pc Hot & Crispy Pepsi Bottle Combo,519.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Chicken Mingles Bucket Meal,528.57,3.4,6
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Classic Roll Mojito Meal,342.87,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Chicken Mingles Bucket,399.05,4.9,4
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Chicken & French Fries Bucket,299.05,4.5,22
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Chicken Popcorn & French Fries Bucket,328.57,4.0,21
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),Classic Zinger Pepsi Bottle Combo,288.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Value Meals for 1-2 (up to Rs 22% off),2 X Veg Krispers Burger Meal,299.05,4.6,13
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Savings Bucket for 3-4 (up to 32% off),All in One Chicken Bucket,579.05,4.1,4
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Savings Bucket for 3-4 (up to 32% off),Ultimate Savings Chicken Bucket,748.57,4.3,23
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Savings Bucket for 3-4 (up to 32% off),Stay Home Chicken Bucket,828.57,3.5,8
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Savings Bucket for 3-4 (up to 32% off),Big 12 - Chicken Bucket,799.05,4.1,14
Gujarat,Ahmedabad,KFC,Hebatpur,Epic Savings Bucket for 3-4 (up to 32% off),Big 8 - Chicken Bucket,748.57,3.1,25
Gujarat,Ahmedabad,KFC,Hebatpur,Rice Bowlz,HC Rice Bowlz,229.52,3.2,3
Gujarat,Ahmedabad,KFC,Hebatpur,Rice Bowlz,Smoky Red Chicken Rice Bowl,229.52,4.8,22
Gujarat,Ahmedabad,KFC,Hebatpur,Rice Bowlz,PC Rice Bowlz,229.52,4.3,10
Gujarat,Ahmedabad,KFC,Hebatpur,Rice Bowlz,Veg Rice Bowlz,199.05,3.7,4
Gujarat,Ahmedabad,KFC,Hebatpur,Rice Bowlz,Plain Rice Bowl,139.05,4.4,1
Gujarat,Ahmedabad,KFC,Hebatpur,Hot & Crispy Chicken & Wings,Hot & Crispy Chicken - 8 pcs,799.05,3.4,3
Gujarat,Ahmedabad,KFC,Hebatpur,Hot & Crispy Chicken & Wings,Hot & Crispy Chicken -6pc,639.05,4.7,13
Gujarat,Ahmedabad,KFC,Hebatpur,Hot & Crispy Chicken & Wings,Hot & Crispy Chicken-4pc,448.57,4.9,16
Gujarat,Ahmedabad,KFC,Hebatpur,Hot & Crispy Chicken & Wings,Hot & Crispy Chicken -2pc,229.52,3.4,31
Gujarat,Ahmedabad,KFC,Hebatpur,Hot & Crispy Chicken & Wings,Hot Chicken Wings - 4pc,184.76,4.7,123
Gujarat,Ahmedabad,KFC,Hebatpur,Hot & Crispy Chicken & Wings,Hot & Crispy Chicken-1pc,119.05,4.9,17
Gujarat,Ahmedabad,KFC,Hebatpur,Boneless Chicken Popcorn,Full House Popcorn Chicken Bucket,1200.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Boneless Chicken Popcorn,Saucy Popcorn x CarryMinati,229.0,4.5,2
Gujarat,Ahmedabad,KFC,Hebatpur,Boneless Chicken Popcorn,Chicken Popcorn - Large,248.57,4.7,97
Gujarat,Ahmedabad,KFC,Hebatpur,Boneless Chicken Popcorn,Chicken Popcorn - Medium,199.05,4.8,69
Gujarat,Ahmedabad,KFC,Hebatpur,Boneless Chicken Popcorn,Chicken Popcorn - Regular,124.76,4.0,41
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Rice Bowlz - Veg,199.05,3.9,1
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Rice Bowlz - Popcorn Chicken,229.52,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Rice Bowlz- Smoky Red Chicken,229.52,4.6,1
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Rice Bowlz - Classic Chicken,229.52,4.2,1
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,2 pc Smoky Red Chicken,248.57,5.0,3
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Large Chicken Popcorn,248.57,4.2,3
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,2 pc Hot & Crispy Chicken,229.52,4.1,2
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,1 Hot & Crispy with Medium Fries,214.29,4.6,1
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,1 Hot & Crispy with Regular Popcorn,230.48,4.6,3
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,1 Regular Popcorn & Medium Fries,214.29,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,2 Veg Patty & Medium Fries,254.29,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,4 Pc Hot Wings & Regular Popcorn,294.29,4.8,21
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,4 Pc Hot Wings & Medium Fries,278.1,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,2 Chicken Krisper Burgers,299.05,4.4,2
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Tandoori Zinger Burger,219.05,4.2,1
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Zinger Burger - Veg,199.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Flat 179 Meals/Bucket,Classic Zinger Burger,208.57,4.5,1
Gujarat,Ahmedabad,KFC,Hebatpur,Grilled Smoky Red Chicken,5 Pc Smoky Chicken Mojito Combo,627.66,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Grilled Smoky Red Chicken,Smoky Red Grilled Chicken - 5 pc,548.57,4.9,44
Gujarat,Ahmedabad,KFC,Hebatpur,Grilled Smoky Red Chicken,Smoky Red Grilled Chicken - 2 pc,248.57,4.1,28
Gujarat,Ahmedabad,KFC,Hebatpur,Grilled Smoky Red Chicken,Smoky Red Grilled Chicken - 1 pc,124.76,2.9,21
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,Peri Peri chicken strips - 3 pc,179.05,4.9,13
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,Gold Edition Regular Fries,149.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,2 pc Veg Patty,155.24,5.0,4
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,Spicy Mix French Fries - Large,139.05,5.0,6
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,French Fries - Large,139.05,4.9,27
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,Spicy Mix French Fries - Medium,114.29,2.0,3
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,French Fries - Medium,99.05,4.8,25
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,Pack of 4 Dips -20gm each,109.52,4.4,2
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,Pack of 2 Dips-20gm each,57.14,4.9,6
Gujarat,Ahmedabad,KFC,Hebatpur,Sides and Dips,Tandoori Flavour Dip - 20 gm,28.57,4.6,24
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,7UP RizzFizz,129.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Virgin Mojito Reusable Bottle,108.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Masala Pepsi Reusable Bottle,108.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Masala Mirinda Reusable Bottle,108.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Dew Mojito Reusable Bottle,108.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Pepsi Reusable Bottle,108.57,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,7Up Reusable Bottle,99.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Mirinda Reusable Bottle,99.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Mountain Dew Reusable Bottle,99.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Chocolate Lava Cake,119.05,4.9,7
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Choco Mud Pie,139.05,5.0,5
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Mousse Cake (Coffee flavoured,139.05,5.0,3
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Pepsi PET 475ml,57.14,3.7,29
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Pepsi Can 330 ml,66.67,4.5,1
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,7UP Can 330 ml,66.67,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Pepsi Black Can 330 ml,66.67,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Pepsi 475ml Pet,57.14,4.4,2
Gujarat,Ahmedabad,KFC,Hebatpur,Desserts & Beverages,Mirinda Can 330 ml,66.67,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Craving Saving meal,779.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Party Bucket Meal,649.0,4.4,1
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Insta Reel Korean Roll Meal,349.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Night Owl Roll combo,199.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Rice Krunch Bowl Combo,399.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Peri Peri Binge Watch combo,599.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Thai Roll Dream meal,649.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Night Shift Zinger Pro Meal,489.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Rice & Bites combo,449.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Midnight Spicy Zinger & Popcorn Meal,459.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Gaming Night Korean Roll meal,649.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Lazy BFF Rice combo,799.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Night Bite Veg Roll combo,199.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Late Night Specials (Starting at 199),Still Awake Veg Zinger Meal,299.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Margherita,169.0,4.2,104
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Veggie Feast,259.0,4.9,18
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Tandoori Paneer,319.0,3.2,29
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Country Feast,319.0,5.0,7
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Veggie Supreme,379.0,4.1,33
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Classic Onion Capsicum,109.0,4.2,65
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Cheesy Spicy Delight,169.0,2.7,5
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Chilli Paneer Sizzle,189.0,4.7,13
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Bold BBQ Veggie Thin n Crispy,749.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Spicy Red Schezwan Pasta,179.0,4.1,2
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Sprinkled Fries - New,109.0,3.5,9
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Brow-wow-nie,109.0,4.2,2
Gujarat,Ahmedabad,Pizza Hut,Sola,Recommended,Choco Volcano,129.0,4.3,15
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Schezwan Margherita,219.0,3.2,4
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Mexican Fiesta,319.0,3.8,4
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Bold BBQ Veggies,319.0,3.8,1
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Ultimate Tandoori Veggie,379.0,4.1,1
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Mazedar Makhni Paneer,379.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Margherita,169.0,4.2,104
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Corn & Cheese,219.0,4.3,16
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Veggie Feast,259.0,4.9,18
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Spiced Paneer,259.0,5.0,14
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Tandoori Paneer,319.0,3.2,29
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Country Feast,319.0,5.0,7
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Veggie Supreme,379.0,4.1,33
Gujarat,Ahmedabad,Pizza Hut,Sola,Veg Pizza,Margherita Pizza,169.0,4.2,103
Gujarat,Ahmedabad,Pizza Hut,Sola,Thin n Crispy Pizzas,Bold BBQ Veggie Thin n Crispy,749.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Thin n Crispy Pizzas,Tandoori Paneer Thin n Crispy,749.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Thin n Crispy Pizzas,Mexican Fiesta Thin n Crispy,749.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Hut Café,Masala Pop,129.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Hut Café,Lemon Mint Mojito,129.0,4.6,1
Gujarat,Ahmedabad,Pizza Hut,Sola,Hut Café,Masala Lemonade,109.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Hut Café,Masala Pepsi,109.0,0.0,0
Gujarat,Ahmedabad,Pizza Hut,Sola,Hut Café,Masala Mirinda,109.0,0.0,0
