Restaurants_Name,Rating,Num_of_ratings,Cuisines,Cost,address,links
Classic Chicken Mamna (Tandoori & Paratha),3.7,5K+ ratings,"North Indian, Biryani",₹ 200 for two person,"4/4892, Saliya market, zampa bazar, surat, gujrat",https://www.swiggy.com/restaurants/classic-chicken-mamna-tandoori-and-paratha-zampa-bazar-begampura-surat-119701
Taste Of Bhagwati,3.9,1K+ ratings,"Indian, Pastas",₹ 330 for two person,"Sakaar Textile House, Near Jash Market, Ring Road, Udhna Gam, Surat",https://www.swiggy.com/restaurants/taste-of-bhagwati-textile-market-ring-road-begampura-surat-70522
Taiyar Pan Center,3.5,100+ ratings,Desserts,₹ 50 for two person,"3/2535, mamnavad, salabatpura, near police station, surat",https://www.swiggy.com/restaurants/taiyar-pan-center-salabatpura-surat-133838
Agarwal Bhel And Chaat Center,--,Too Few Ratings,"Chaat, Snacks",₹ 300 for two person,"SHOP NO.G-7, G.F., SAI DARSHAN MAERKET, OPP. MULTI LEVEL PARKING, RING ROAD , Surat",https://www.swiggy.com/restaurants/agarwal-bhel-and-chaat-center-athwa-surat-566721
Delhiwale Bitoo Ji Ke Amritsari Chur Chur Naan Aur,4.0,100+ ratings,North Indian,₹ 150 for two person,"4/2330 3G.F SHOP 18 NEW SUPREME MARKET, RING ROAD, SURAT 395001",https://www.swiggy.com/restaurants/delhiwale-bitoo-ji-ke-amritsari-chur-chur-naan-aur-ring-road-surat-491077
Jay Ambey Bakery,4.1,10K+ ratings,"Bakery, Desserts",₹ 300 for two person,Opp rupam cinema Salabatpura main road Near c m surti surat 395003.,https://www.swiggy.com/restaurants/jay-ambey-bakery-salabatpura-surat-71316
Mp Partha And Omlette,4.0,5K+ ratings,North Indian,₹ 200 for two person,"saliyawade market, zampa bazar main road, surat",https://www.swiggy.com/restaurants/mp-partha-and-omlette-zampa-bazar-begampura-surat-138863
Tex Palazzo Hotel,3.4,50+ ratings,"Closes soonNorth Indian, Punjabi",₹ 600 for two person,"Tex Palazzo Hotel, Surat Textile Market, Ring Road, Sahara Darwaja, Surat",https://www.swiggy.com/restaurants/tex-palazzo-hotel-ring-road-new-textile-market-surat-145746
Taste Of Kolkata Rolls,4.3,1K+ ratings,"Chinese, North Indian",₹ 400 for two person,"Salabatpura, Surat, Gujarat, India",https://www.swiggy.com/restaurants/taste-of-kolkata-rolls-salabatpura-begampura-surat-186141
Laziz Pizza,3.8,1K+ ratings,"Pastas, Burgers",₹ 300 for two person,"Shop-8 , Navsarjan App.-1, Kailas Nagar , Opp The Panchil Bank, Sagrampura ,Surat , Piplod (Surat) , Surat Municipal Corporation, Surat Municipal Corporation, Gujarat-395002.",https://www.swiggy.com/restaurants/laziz-pizza-athwa-sagrampura-athwa-surat-451118
PIZZA PLUS,4.4,1K+ ratings,"Chinese, Burgers",₹ 250 for two person,"g.f hanjar chambers,opp. najmi hall, H.K street, begampura, surat",https://www.swiggy.com/restaurants/pizza-plus-salabatpura-begampura-surat-114463
Bismillah,4.2,1K+ ratings,"Desserts, Ice Cream",₹ 150 for two person,"1122 PAIKEEM SHOP G-5, MEERA HOUSE, NEAR MOTI TOKIZ, SALABATPURA, SURAT",https://www.swiggy.com/restaurants/bismillah-ring-road-athwa-begampura-moti-talkies-surat-89716
Everything@99,3.3,1K+ ratings,"Opens next at 6:45 pm, todayNorth Indian, Biryani",₹ 150 for two person,"DEPOT NO 7/166,  OPP JAIN DHARAMSHALA, STATION RD, SURAT",https://www.swiggy.com/restaurants/everything-99-opp-jain-dharamshala-varachha-surat-219834
Navjeevan Hotel,2.9,1K+ ratings,"Opens next at 6:45 pm, todayNorth Indian, Biryani",₹ 200 for two person,TajMahal Depot .H .No 7/166 Opposite jain Dharamshala station Rd Surat,https://www.swiggy.com/restaurants/navjeevan-hotel-gopipura-surat-148127
Nishab'S Kitchen,--,Too Few Ratings,"Fast Food, Pizzas",₹ 300 for two person,"H.NO.3421, GF, BADRI MOHOLLA, NOORPURA, SURAT - 395003",https://www.swiggy.com/restaurants/nishabs-kitchen-athwa-surat-470655
Ahmedi Hotel,4.0,500+ ratings,"North Indian, Biryani",₹ 200 for two person,"3/944, Navapura Karwa Road, Zampa Bazaar, Begampura, New Textile Market, Surat",https://www.swiggy.com/restaurants/ahmedi-hotel-zampa-bazar-surat-138770
Chhote Miyan,3.9,5K+ ratings,"Closes soonNorth Indian, Pizzas",₹ 300 for two person,"Shop 2, Ground Floor, Jangbarwala Plaza, Navapura Karwa Rd, Zampa Bazaar, Surat",https://www.swiggy.com/restaurants/chhote-miyan-zampa-bazar-begampura-surat-70761
Salasar  Bhojnalay And Paratha,--,Too Few Ratings,"North Indian, Thalis",₹ 200 for two person,"""""""NAWABWADI. OPP. NTM MARKET. SAHARA  DARWAJA. RING ROAD. SURAT, Surat City ,  Surat City, Surat Municipal Corporation,  Gujarat 395003""""""",https://www.swiggy.com/restaurants/salasar-bhojnalay-and-paratha-athwa-surat-507787
New Shree Sainath Food Parlour,3.7,10K+ ratings,"Chinese, North Indian",₹ 200 for two person,"1/3277, Behind Venus Chambers, Near Jain Bhojanshala, Kaji Maidan, Gopipura, Surat 395001",https://www.swiggy.com/restaurants/new-shree-sainath-food-parlour-soni-faliya-gopipura-surat-85205
New Sher-E-Punjab,3.2,20+ ratings,"North Indian, Snacks",₹ 200 for two person,"Plot No 7B, Subhash nagar Limbayat Surat, 394210",https://www.swiggy.com/restaurants/new-sher-e-punjab-athwa-surat-418216
Huseni Restaurant,4.3,500+ ratings,Indian,₹ 200 for two person,"3/573, Zampa Bazar Main Road, New Textile Market, Surat",https://www.swiggy.com/restaurants/huseni-restaurant-new-textile-market-begampura-surat-138866
Shree Kheteswar Mithaiwala,4.3,100+ ratings,Sweets,₹ 200 for two person,Shree Kheteshwar Mithai Wala  Zampa Bazaar  Begampura  Surat  Gujarat  India,https://www.swiggy.com/restaurants/shree-kheteswar-mithaiwala-begampura-surat-209379
Raj Food Corner,4.0,100+ ratings,Beverages,₹ 200 for two person,"Shop #6, Raj Food Corner,[hajoori kulfi], Next to Central Bank of India, Kashi Plaza.",https://www.swiggy.com/restaurants/raj-food-corner-rustampura-surat-225926
Cream 'N' Crust,--,Too Few Ratings,"Ice Cream, Pizzas",₹ 200 for two person,"Shop No 1, Siddhi Vinayak Appt, Opp Central Bank of India, Rustampura Main Road, Surat ,Surat Muncipal Cooperation(Gujarat)-395002",https://www.swiggy.com/restaurants/cream-n-crust-athwa-rustampura-surat-521964
Delhi Dastarkhwan Restaurant,3.9,1K+ ratings,"Biryani, North Indian",₹ 200 for two person,"Shop 2, P3 House, Kamal Gali, Chowk Bazaar, Surat",https://www.swiggy.com/restaurants/delhi-dastarkhwan-restaurant-chowk-bazar-kamal-gali-chowk-bazar-surat-225325
Tawakal Biryani Center,3.6,1K+ ratings,Biryani,₹ 250 for two person,"10/2269, zaveri mention, sonifalia , chowk , surat",https://www.swiggy.com/restaurants/tawakal-biryani-center-chowk-bazar-surat-153039
Gangour,3.7,20+ ratings,"North Indian, Snacks",₹ 120 for two person,"Food Court, 3rd Floor, Reliance Mall, opposite Rajkumar Cinema, Udhana Darwaja, Udhana, Surat, Gujarat 395002, India",https://www.swiggy.com/restaurants/gangour-opposite-rajkumar-cinema-udhna-surat-607703
McDonald's Gourmet Burger Collection,4.3,100+ ratings,"Burgers, Beverages",₹ 500 for two person,"Hardcastle Restaurants Pvt Ltd,McDonalds Family Restaurants, RSM 09, RSM 24-26, Reliance Mega Mall, Udhana Darwaja, Opp. Passport Office, Ring Road, Surat - 394210, Gujarat.",https://www.swiggy.com/restaurants/mcdonalds-gourmet-burger-collection-reliance-mall-athwa-surat-395356
Shree Jai Bhavani Ice Creamand Juice,4.4,50+ ratings,"Beverages, Ice Cream",₹ 200 for two person,"Ratan Chamber, NH6, New Textile Market, Surat, Gujarat, India",https://www.swiggy.com/restaurants/shree-jai-bhavani-ice-creamand-juice-ratan-chamber-aman-nagar-surat-186279
Ajay'S Takeaway Food Udhna Darwaja,--,Too Few Ratings,Burgers,₹ 200 for two person,"2/692b palki ujjad mohallao,sagrampura,surat",https://www.swiggy.com/restaurants/ajays-takeaway-food-udhna-darwaja-sagrampura-athwa-surat-629989
Sainath Live Cake,--,Too Few Ratings,Indian,₹ 200 for two person,"Shop No-1,2,3 TM, Zapa Bazar, Behind Sai Temple, Danapith Surat,395003",https://www.swiggy.com/restaurants/sainath-live-cake-athwa-begampura-surat-361665
Supreme Restaurant & Fastfood,3.5,1K+ ratings,"Punjabi, Indian",₹ 220 for two person,"SHOP NO.4,5, VANKAR SANGH SOCIETY, NEAR PUNJAB NATIONAL BANK, OPP. J J MARKET, RING ROAD, SURAT",https://www.swiggy.com/restaurants/supreme-restaurant-and-fastfood-ring-road-athwa-surat-79815
Monginis Cake Shop,4.1,20+ ratings,"Bakery, Desserts",₹ 300 for two person,"3/566, SHOP NO. 6 & 7, MUGHAL , BUILDING ZAMPA BAZAR, SURAT 395003",https://www.swiggy.com/restaurants/monginis-cake-shop-athwa-surat-481646
Badshah Foods,--,Too Few Ratings,"Desserts, Ice Cream",₹ 240 for two person,"shop no 9 salabatpura, main road surat 395003",https://www.swiggy.com/restaurants/badshah-foods-udhna-surat-525274
Madras Cafe,3.5,100+ ratings,"South Indian, Fast Food",₹ 200 for two person,"2/874, HIRA MODI NI SHERI,OPP SUBJAIL,SANGRAMPURA,SURAT",https://www.swiggy.com/restaurants/madras-cafe-sangrampura-athwa-surat-537435
Hari Om Dhanlaxmi,3.6,50+ ratings,"Fast Food, Chinese",₹ 100 for two person,"Wadi Faliya, Zampa Bazaar, Navapura, Surat, Gujarat",https://www.swiggy.com/restaurants/hari-om-dhanlaxmi-zampa-bazar-athwa-surat-185803
Kutchi King,4.0,1K+ ratings,"Burgers, Pizzas",₹ 100 for two person,"Shop No -1,kutchi king fast food, swagat complex, opposite DR world, Parvat Patiya, Surat, Gujarat 395010, India",https://www.swiggy.com/restaurants/kutchi-king-opp-dr-world-parvat-patiya-surat-118906
Rd Sharma Pavbhaji And Dosa,3.9,500+ ratings,"Chinese, South Indian",₹ 250 for two person,"22C, T.P. NO 8,76/77, GF BOMBAY MARKET, UMARWADA SURAT",https://www.swiggy.com/restaurants/rd-sharma-pavbhaji-and-dosa-umarwada-athwa-surat-387796
Shreenathji Farshan,4.1,100+ ratings,Italian,₹ 100 for two person,"Opp Dhabuwala Gali, Navsari Bazaar Main Road, Surat",https://www.swiggy.com/restaurants/shreenathji-farshan-navsari-bazar-rustampura-surat-98523
Mukesh Egg Center,4.5,100+ ratings,"Fast Food, Snacks",₹ 300 for two person,"2/803,Hiramodi ni Sheri,Bhandariwad,Sagrampura Main Road,Udhna darwaja,Surat. 395002",https://www.swiggy.com/restaurants/mukesh-egg-center-marvella-corridor-vesu-sagrampura-surat-153036
Surti Khaman & Farsan Mart - Gopipura,3.9,1K+ ratings,"Gujarati, Street Food",₹ 150 for two person,"9/1101, AB 1103, Narmada Apartment, Ground Floor, Ambaji Road, Near Bhagal, Gopipura, Surat",https://www.swiggy.com/restaurants/surti-khaman-and-farsan-mart-gopipura-gopipura-surat-87950
Sai Ragda Patties,3.9,50+ ratings,Snacks,₹ 200 for two person,"mehdrapura police station near, ops hariyar pustakalay, tower road jampha bazar",https://www.swiggy.com/restaurants/sai-ragda-patties-adajan-surat-426341
McCafe by McDonald's,3.5,20+ ratings,"American, Beverages",₹ 250 for two person,"Hardcastle Restaurants Pvt Ltd,McDonalds Family Restaurants, RSM 09, RSM 24-26, Reliance Mega Mall, Udhana Darwaja, Opp. Passport Office, Ring Road, Surat - 394210, Gujarat.",https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-reliance-mall-khatodra-wadi-surat-194552
La Cream,--,Too Few Ratings,"Pastas, Desserts",₹ 200 for two person,"3/577, ZAMPA BAZAR MAIN ROAD, ZAMPA  BAZAR, Surat Municipal Corporation,  Gujarat-395003",https://www.swiggy.com/restaurants/la-cream-athwa-zampa-bazar-surat-600021
Unique Ande Ka Funda,--,Too Few Ratings,Indian,₹ 150 for two person,"Near Chiranjiv hospital, bhandariwad sagrampura, surat 395002",https://www.swiggy.com/restaurants/unique-ande-ka-funda-athwa-surat-434702
Hotel Shiv Shakti,3.3,1K+ ratings,"Closes soonDesserts, Chinese",₹ 150 for two person,"36-40, Puna Kumbhariya Rd, Sardar Vegetable Market, Yamuna Nagar, Surat",https://www.swiggy.com/restaurants/hotel-shiv-shakti-sardar-market-surat-146006
Delights by INOX,--,Too Few Ratings,Snacks,₹ 400 for two person,"INOX Leisure Ltd., Reliance Mega Mall Udhna Darwaja, Opposite Apple Hospital, Surat 395001",https://www.swiggy.com/restaurants/delights-by-inox-reliance-mega-mall-khatodra-wadi-surat-327562
Biryani Junction,2.5,500+ ratings,Biryani,₹ 155 for two person,"4/4143, Momnawad, Navsari Bazaar, Surat, Gujarat 395008, India",https://www.swiggy.com/restaurants/biryani-junction-athwa-navsari-bazaar-surat-249354
Gopal Locho,4.2,100+ ratings,"Snacks, Street Food",₹ 200 for two person,"6/397 MANCHHARPURA KHARADI SHERI, SURAT , SURAT CITYd",https://www.swiggy.com/restaurants/gopal-locho-mahidharpura-mahidharpura-railway-station-surat-502595
Albela Cold Drink & Juice Center,3.9,100+ ratings,"Ice Cream, Beverages",₹ 200 for two person,"3/168, Navapura Opp.tarpan Building Pirchadi Rod, Zampa Bazaar, Bhagal, Surat, Gujarat",https://www.swiggy.com/restaurants/albela-cold-drink-and-juice-center-zampa-bazar-haripura-surat-157031
Barkat Tea Center,--,Too Few Ratings,"Beverages, Snacks",₹ 300 for two person,"RS NO-10 PAIKI HUT NO- 5, NR. VOHRA KABRASTAN, UDHNA DARWAJA, KHATODRA, Surat City , Surat Municipal Corporation, Gujarat,395002",https://www.swiggy.com/restaurants/barkat-tea-center-udhna-darwaja-athwa-surat-654061
Hotel Shyam,3.5,100+ ratings,"Closes soonChinese, North Indian",₹ 200 for two person,"Plot 33 to 43, Shop no. 23, Lower Ground Floor, Commercial Complex, Sardar Market, Puna Kumbhaniya Road, Surat, Gujarat",https://www.swiggy.com/restaurants/hotel-shyam-parvat-patiya-sanjay-nagar-surat-323332
Ras Sagar Sweet House,3.9,1K+ ratings,"North Indian, Desserts",₹ 250 for two person,"Shop no- 8,9, Sagar Shopping Centre, Sahara Darwaja, Ring Road, Surat, Gujarat 395006",https://www.swiggy.com/restaurants/ras-sagar-sweet-house-sahara-darwaja-begampura-surat-95241
Egg Cart,--,Too Few Ratings,Snacks,₹ 200 for two person,"Falsawadi sarcal ring roud opp/ golden point Ring road surat , Surat Municipal Corporation, Surat Municipal Corporation, , Gujarat, 395003",https://www.swiggy.com/restaurants/egg-cart-golden-point-ring-road-athwa-surat-668065
Famous Aalupuri And Khawsa,3.4,100+ ratings,Indian,₹ 200 for two person,"raza complex c Block, Sagrampura Main Road, Sagrampura, Surat, Gujarat, India",https://www.swiggy.com/restaurants/famous-aalupuri-and-khawsa-athwa-sagrampura-surat-300497
Hotel Shyam Darshan,3.0,100+ ratings,"Closes soonDesserts, Chinese",₹ 200 for two person,"Shop no.14/A, Limbayat , Surat City, Surat Municipal Corporation, Gujarat, 395011",https://www.swiggy.com/restaurants/hotel-shyam-darshan-parvat-patiya-sanjay-nagar-surat-359582
Shankar Fancy Dhosa,--,Too Few Ratings,"South Indian, Beverages",₹ 300 for two person,"3, Oop.Jagdish Pavbhaji, Ruwala Tekra, Mahidharpura, Haripura, Surat, Gujarat 395003, India",https://www.swiggy.com/restaurants/shankar-fancy-dhosa-mahidharpura-athwa-surat-664840
Urban king,3.2,20+ ratings,"Closes soonDesserts, Chinese",₹ 200 for two person,"36-40, Puna Kumbhariya Rd, Sardar Vegetable Market, Yamuna Nagar, Surat",https://www.swiggy.com/restaurants/urban-king-sardar-market-athwa-surat-451361
Jd Restaurant,4.3,10K+ ratings,"Pastas, Chinese",₹ 250 for two person,"Lakhani Chambers, Mini Bazar, Varachha Road, Surat, Gujarat 395006",https://www.swiggy.com/restaurants/jd-restaurant-mini-bazar-varachha-surat-71327
Dairy World ( Rangildas Ghelabhai Dudhwala),4.3,500+ ratings,"Sweets, Snacks",₹ 150 for two person,"5/1357, Haripura Kanskiwad, Surat 395003",https://www.swiggy.com/restaurants/dairy-world-rangildas-ghelabhai-dudhwala-kanskiwad-sayedpura-surat-88699
Murlidhar Restaurant,3.3,20+ ratings,"Closes soonDesserts, Chinese",₹ 280 for two person,"SY.NO. 54-155 PAIKEE SHOP NO. G/103,  KUMBHAL, BARDOLI ROAD,SURAT, Bardoli  H.O, Bardoli, Surat, Gujarat - 395010",https://www.swiggy.com/restaurants/murlidhar-restaurant-parvat-patiya-athwa-surat-415657
Badri Ice & Cold Drinks Depo,4.2,100+ ratings,Beverages,₹ 200 for two person,"12-600, LAL GATE , MAIN ROAD, SURAT",https://www.swiggy.com/restaurants/badri-ice-and-cold-drinks-depo-lalgate-gopipura-surat-160652
Badshahi Biryani,3.0,100+ ratings,Biryani,₹ 200 for two person,"8/1113/B, Near Jaliwali Masjid, Momnawad, Gopipura, Surat Municipal Corporation,395001",https://www.swiggy.com/restaurants/badshahi-biryani-athwa-navsari-bazaar-surat-251092
Shree Ganeshay Fast Food,3.8,1K+ ratings,"Fast Food, Snacks",₹ 100 for two person,"A-20,shree ganeshay fast food,abhilasha heights,aai mata,near kiran motors",https://www.swiggy.com/restaurants/shree-ganeshay-fast-food-parvat-patiya-yamuna-nagar-surat-83314
CRUNCH,4.3,50+ ratings,"Fast Food, Burgers",₹ 300 for two person,"SHOP N 3, 4, B/S HOTEL SAVERA, STATION ROAD, SURAT 395003",https://www.swiggy.com/restaurants/crunch-hotel-savera-beside-savera-restaurant-station-road-surat-637310
Babu Bhai Sweets,--,Too Few Ratings,"Sweets, Desserts",₹ 200 for two person,"3/621, navapura, karva road, surat 395003",https://www.swiggy.com/restaurants/babu-bhai-sweets-karva-road-athwa-surat-627118
Cream Nation,--,Too Few Ratings,Desserts,₹ 200 for two person,"2/4242 OPP AMBER PALACE OLD MAHAVIR HOSPITAL SAGRAMPURA ,SURAT",https://www.swiggy.com/restaurants/cream-nation-sagrampura-surat-217637
Ajay's,4.0,100+ ratings,Burgers,₹ 150 for two person,"Bus Depot, Gurunagar, Udhana Main Rd, beside Bharat General Store, opp. Udhana, Udhna, Surat, Gujarat 394210",https://www.swiggy.com/restaurants/ajays-udhna-teen-rasta-athwa-surat-133179
Ganda Kaka Na Fafda,4.0,100+ ratings,Desserts,₹ 200 for two person,"6/2387, Bandugara Na Nake, Lal Darwaja, Surat, 395003",https://www.swiggy.com/restaurants/ganda-kaka-na-fafda-lal-darwaja-athwa-surat-448817
Vrundavan Sweet & Restaurant,3.5,50+ ratings,North Indian,₹ 300 for two person,"OPP. RAILWAY STATON, VARACHA, SURAT",https://www.swiggy.com/restaurants/vrundavan-sweet-and-restaurant-opp-railway-station-varachha-surat-172883
Sugar N Spice,3.7,500+ ratings,"Chinese, North Indian",₹ 350 for two person,"Hotel Central Beacon, Opposite Surat Railway Station, Besides ST Bus Stand, Umarwada, Surat",https://www.swiggy.com/restaurants/sugar-n-spice-nr-railway-station-varachha-surat-71270
Tea Post,4.4,1K+ ratings,Indian,₹ 100 for two person,"ground floor ,nr india bulls icc building passage nr kadiwaila school,ring road, surat",https://www.swiggy.com/restaurants/tea-post-ring-road-icc-building-surat-97221
Aunty Momos,3.3,100+ ratings,Fast Food,₹ 200 for two person,"Shop no 4, Sonifaliya, Arya Samaj Road Near Arya Samaj Hall, next to Thakkar Diary, Chowk Bazar, Gopipura, Surat, Gujarat 395001, India",https://www.swiggy.com/restaurants/aunty-momos-gopipura-athwa-surat-490697
Sher-E-Punjab,3.6,1K+ ratings,"Chinese, North Indian",₹ 300 for two person,"Shop 1, Ground Floor, Omkar Chambers, Opposite Railway Station, Umarwada, Surat",https://www.swiggy.com/restaurants/sher-e-punjab-opp-railway-station-varachha-surat-69959
Jai Shankar Lassi,4.4,500+ ratings,Ice Cream,₹ 100 for two person,"10/2269,Kamal gali, Opp. Cng Pump, zaveri mension ,Chowk, surat",https://www.swiggy.com/restaurants/jai-shankar-lassi-nr-gujarat-mitra-press-chowk-surat-105296
Radha Krishna Restaurant,4.4,1K+ ratings,"Chinese, North Indian",₹ 200 for two person,"Shop no 1, 2 GF Himani Appt, Majura Gate, surat",https://www.swiggy.com/restaurants/radha-krishna-restaurant-majura-gate-surat-124605
Rajesh Samosa House,--,Too Few Ratings,Indian,₹ 200 for two person,"22/169, Khatodara ,Bethi Colony , Udhana , Darwaja,  Sagrampura Putli- , Surat 395002",https://www.swiggy.com/restaurants/rajesh-samosa-house-athwa-udhana-darwaja-surat-444213
Desserts & More,4.2,100+ ratings,"Desserts, Bakery",₹ 300 for two person,"Shop No. 5, Silicon Park, Parvat Patiya, Dumbhal, Surat, Gujarat-395010",https://www.swiggy.com/restaurants/desserts-and-more-athwa-parvat-patiya-surat-505375
Harry's,--,Too Few Ratings,"North Indian, Snacks",₹ 200 for two person,PLOT NO 41 PAIKEE SHOP MAHAVIR NAGAR OPP KARUNA SAGAR NAHGAR DUMBHAL SURAT,https://www.swiggy.com/restaurants/harrys-parvat-patiya-surat-529690
Punjabi Dhaba - The Taste Of Punjab,3.1,1K+ ratings,"North Indian, Biryani",₹ 200 for two person,SHOP NO 17 MULTANI MARKET OPP UDHNA RAILWAY STATION ROAD ROAD NO 0 UDHNA SURAT,https://www.swiggy.com/restaurants/punjabi-dhaba-the-taste-of-punjab-udhna-surat-221928
Kekiz The Cake Shop,4.1,20+ ratings,"Bakery, Desserts",₹ 400 for two person,"shop no-4 Shraddha appt, pani ni bhit",https://www.swiggy.com/restaurants/kekiz-the-cake-shop-sonifalia-surat-352601
Trishiv Chinese Corner,3.9,20+ ratings,"Fast Food, Chinese",₹ 300 for two person,"SY-37/A+B, FP-23, GF, SUBHAM SHOPPING CENTER, AAI MATA CHAWK ROAD, OPP. D.R. WORLD, MAGOB, SURAT., Surat Municipal Corporation, Surat Municipal Corporation, Gujarat-395010",https://www.swiggy.com/restaurants/trishiv-chinese-corner-magob-parvat-patiya-surat-617019
Mr. Waffle And  Momos,3.9,100+ ratings,"Chinese, Desserts",₹ 200 for two person,"H NO 2210 C, SHOP-4, GR FLR, SONIFALIA,ARYA SAMAJ ROAD, SURAT-395001, Surat City , Surat City, Surat, Gujarat, 395001",https://www.swiggy.com/restaurants/mr-waffle-and-momos-athwa-surat-380580
Bismillah Shawarma,--,Too Few Ratings,"Snacks, Pizzas",₹ 200 for two person,"KAMAL GALI, WARD OFFICE PASE, NEAR CHOWK BAZAR, SURAT, SURAT CITY, SURAT CITY, SURAT MUNICIPAL CORPORATION, GUJARAT - 395001",https://www.swiggy.com/restaurants/bismillah-shawarma-kamal-gali-athwa-surat-658754
Kasmiri Restaurant,3.8,10K+ ratings,"Chinese, Tandoor",₹ 300 for two person,"Kamal Gali, Chowk Bazaar, Surat",https://www.swiggy.com/restaurants/kasmiri-restaurant-chowk-bazar-gopipura-surat-81574
A One Coco,4.2,10K+ ratings,Ice Cream,₹ 150 for two person,A ONE COLD COCO opp hafiz bros. Bhagatalav main road surat...,https://www.swiggy.com/restaurants/a-one-coco-bhagatalav-gopipura-surat-71172
Sagar Restaurant,3.5,1K+ ratings,"Tandoor, North Indian",₹ 300 for two person,"Opposite Gujarat Mitra Press, New Textile Market, Surat",https://www.swiggy.com/restaurants/sagar-restaurant-new-textile-market-gopipura-surat-81725
